Date,Open,High,Low,Close
12/31/2021,4775.21,4786.83,4765.75,4766.18
12/30/2021,4794.23,4808.93,4775.33,4778.73
12/29/2021,4788.64,4804.06,4778.08,4793.06
12/28/2021,4795.49,4807.02,4780.04,4786.35
12/27/2021,4733.99,4791.49,4733.99,4791.19
12/23/2021,4703.96,4740.74,4703.96,4725.79
12/22/2021,4650.36,4697.67,4645.53,4696.56
12/21/2021,4594.96,4651.14,4583.16,4649.23
12/20/2021,4587.9,4587.9,4531.1,4568.02
12/17/2021,4652.5,4666.7,4600.22,4620.64
12/16/2021,4719.13,4731.99,4651.89,4668.67
12/15/2021,4636.46,4712.6,4611.22,4709.85
12/14/2021,4642.99,4660.47,4606.52,4634.09
12/13/2021,4710.3,4710.3,4667.6,4668.97
12-10-2021,4687.64,4713.57,4670.24,4712.02
12-09-2021,4691,4695.26,4665.98,4667.45
12-08-2021,4690.86,4705.06,4674.52,4701.21
12-07-2021,4631.97,4694.04,4631.97,4686.75
12-06-2021,4548.37,4612.6,4540.51,4591.67
12-03-2021,4589.49,4608.03,4495.12,4538.43
12-02-2021,4504.73,4595.46,4504.73,4577.1
12-01-2021,4602.82,4652.94,4510.27,4513.04
11/30/2021,4640.25,4646.02,4560,4567
11/29/2021,4628.75,4672.95,4625.26,4655.27
11/26/2021,4664.63,4664.63,4585.43,4594.62
11/24/2021,4675.78,4702.87,4659.89,4701.46
11/23/2021,4678.48,4699.39,4652.66,4690.7
11/22/2021,4712,4743.83,4682.17,4682.94
11/19/2021,4708.44,4717.75,4694.22,4697.96
11/18/2021,4700.72,4708.8,4672.78,4704.54
11/17/2021,4701.5,4701.5,4684.41,4688.67
11/16/2021,4679.42,4714.95,4679.42,4700.9
11/15/2021,4689.3,4697.42,4672.86,4682.8
11-12-2021,4655.24,4688.47,4650.77,4682.85
11-11-2021,4659.39,4664.55,4648.31,4649.27
11-10-2021,4670.26,4684.85,4630.86,4646.71
11-09-2021,4707.25,4708.53,4670.87,4685.25
11-08-2021,4701.48,4714.92,4694.39,4701.7
11-05-2021,4699.26,4718.5,4681.32,4697.53
11-04-2021,4662.93,4683,4662.59,4680.06
11-03-2021,4630.65,4663.46,4621.19,4660.57
11-02-2021,4613.34,4635.15,4613.34,4630.65
11-01-2021,4610.62,4620.34,4595.06,4613.67
10/29/2021,4572.87,4608.08,4567.59,4605.38
10/28/2021,4562.84,4597.55,4562.84,4596.42
10/27/2021,4580.22,4584.57,4551.66,4551.68
10/26/2021,4578.69,4598.53,4569.17,4574.79
10/25/2021,4553.69,4572.62,4537.36,4566.48
10/22/2021,4546.12,4559.67,4524,4544.9
